Logit_True,Logit_Max_Incorrect,Gap
0.9286534,0.78680557,0.14184785
0.7656201,0.8856788,-0.120058715
0.5835429,0.70587313,-0.12233025
0.9860035,0.8676066,0.11839694
0.9335766,0.9552288,-0.021652222
0.93543774,0.95496005,-0.01952231
0.8321612,0.8221513,0.010009885
0.123034306,0.84743464,-0.72440034
0.8235016,0.75183386,0.07166773
0.9111985,0.9505982,-0.039399683
0.8952389,0.9616933,-0.06645441
0.9223073,0.9410765,-0.018769205
0.9365318,0.95424104,-0.017709255
0.8672674,0.9426178,-0.075350404
0.8718329,0.9666391,-0.094806194
0.9032651,0.9518158,-0.048550665
0.9261519,0.94826007,-0.022108197
0.9813391,0.9277941,0.053545
0.86336124,0.9533375,-0.08997625
0.71557856,0.9500704,-0.23449183
0.8715956,0.9823103,-0.110714674
0.9664335,0.70409477,0.26233876
0.9200162,0.90438277,0.015633464
0.684175,0.9057657,-0.2215907
0.96309847,0.9500075,0.013090968
0.86452675,0.8384859,0.026040852
0.8425828,0.77165973,0.07092309
0.82685,0.8951185,-0.06826848
0.7836271,0.73912084,0.04450625
0.8394629,0.94249904,-0.103036165
0.8834027,0.9714267,-0.08802402
0.8436434,0.96085775,-0.11721432
0.8859038,0.965072,-0.0791682
0.9994535,0.9484018,0.051051676
0.99272203,0.9494598,0.043262243
0.94464153,0.9823015,-0.037659943
0.9909157,0.92445546,0.06646025
0.688407,0.73949313,-0.051086128
0.69886565,0.75608003,-0.05721438
0.9465027,0.9503931,-0.0038903952
0.9686122,0.7106006,0.25801158
0.9781997,0.962922,0.015277743
0.94562453,0.9618223,-0.016197741
0.8835424,0.8563899,0.027152538
0.8885576,0.87283254,0.015725076
0.82190657,0.8282673,-0.0063607097
0.8900814,0.88391525,0.00616616
0.88607633,0.8867265,-0.00065016747
0.6928679,0.7542424,-0.061374545
0.65451276,0.7661885,-0.11167574
0.6465343,0.89592135,-0.24938703
0.9536277,0.9140494,0.03957832
0.95883226,0.9587852,4.708767e-05
0.9793933,0.89186144,0.087531865
0.9115133,0.89441335,0.017099977
0.78792465,0.8039541,-0.016029477
0.9738394,0.8249011,0.1489383
0.8801106,0.85798156,0.022129059
0.9006841,0.88619906,0.014485061
0.9525063,0.954255,-0.0017486811
0.96303296,0.95884645,0.004186511
0.89039385,0.9545552,-0.06416136
0.9790708,0.9626422,0.01642859
0.983308,0.9729989,0.0103091
0.9401685,0.8635614,0.07660711
0.9368759,0.8393376,0.09753829
0.7744075,0.89244336,-0.11803585
0.39748776,0.9456227,-0.5481349
0.97774255,0.8313465,0.14639604
0.9935812,0.94906676,0.044514418
0.8944652,0.9430664,-0.04860121
0.69116914,0.7519312,-0.060762048
0.42033574,0.6942737,-0.27393797
0.979346,0.98501444,-0.0056684613
0.9603276,0.93515897,0.025168657
0.74812984,0.86609226,-0.11796242
0.6345664,0.68979967,-0.05523324
0.6950443,0.7324387,-0.037394404
0.6942797,0.74688566,-0.052605987
0.96441305,0.8643929,0.10002017
0.9054303,0.9518459,-0.046415567
0.4714047,0.6777764,-0.2063717
0.47075367,0.69717354,-0.22641987
0.79936355,0.80987406,-0.010510504
0.9574983,0.96160173,-0.004103422
0.4679506,0.82563996,-0.35768935
0.9868321,0.9754658,0.011366308
0.6950443,0.7324387,-0.037394404
0.9656242,0.97264445,-0.007020235
0.97355896,0.90152645,0.07203251
0.81777763,0.75635934,0.061418295
0.7023754,0.73883414,-0.03645873
0.96254206,0.9103224,0.05221963
0.89740616,0.9541602,-0.056754053
0.7169439,0.7278088,-0.010864854
0.97116244,0.8392551,0.13190734
0.77282166,0.90380037,-0.1309787
0.92717487,0.8416832,0.08549166
0.9939694,0.99363667,0.00033271313
0.70847887,0.7365249,-0.028046012
0.99117637,0.9640287,0.02714765
0.95192194,0.9529855,-0.0010635853
0.958524,0.96196944,-0.0034454465
0.9786834,0.91729534,0.061388075
0.9786834,0.91729534,0.061388075
0.68934786,0.8828126,-0.19346476
0.67605823,0.873248,-0.19718975
0.84824884,0.85523355,-0.0069847107
0.78070664,0.85065496,-0.069948316
0.59464884,0.9296583,-0.33500946
0.8613584,0.8650435,-0.0036851168
0.8187585,0.7710113,0.047747195
0.8824625,0.8920194,-0.0095568895
0.97846365,0.8841795,0.09428418
0.82904863,0.71347326,0.11557537
0.9297168,0.90820646,0.021510363
0.9314499,0.84708166,0.08436823
0.9497026,0.8302864,0.11941624
0.95153236,0.8494665,0.10206586
0.92155504,0.87649775,0.045057297
0.9506898,0.95310116,-0.0024113655
0.9654018,0.9326614,0.032740414
0.9731436,0.90593195,0.06721163
0.9795244,0.81794834,0.16157603
0.9865431,0.9013421,0.085201025
0.98924786,0.967985,0.021262884
0.81042135,0.8615021,-0.051080763
0.8412516,0.85543454,-0.014182925
0.97595036,0.9628927,0.013057649
0.9606993,0.9071665,0.05353284
0.8654958,0.78009045,0.08540535
0.9725392,0.9745293,-0.0019901395
0.9554131,0.9765845,-0.021171391
0.90762985,0.92635375,-0.018723905
0.9800235,0.69019926,0.28982425
0.96594644,0.96577907,0.00016736984
0.98707014,0.95854306,0.028527081
0.96385455,0.923558,0.040296555
0.981424,0.96845156,0.0129724145
0.8574582,0.90228957,-0.044831395
0.92501444,0.9527491,-0.027734637
0.685725,0.58244723,0.10327774
0.921942,0.4393174,0.4826246
