Logit_True,Logit_Max_Incorrect,Gap
0.89872533,0.76692533,0.1318
0.8533032,0.8805783,-0.027275085
0.6097845,0.76610005,-0.15631557
0.9856786,0.8776532,0.10802543
0.956346,0.97523725,-0.018891275
0.9573108,0.9737614,-0.016450584
0.8834337,0.8571468,0.0262869
0.29767781,0.8613247,-0.5636469
0.7991741,0.7506404,0.048533678
0.9185195,0.9569001,-0.038380623
0.930313,0.9678613,-0.037548304
0.9313296,0.95262665,-0.021297038
0.95156014,0.9573962,-0.0058360696
0.77957875,0.943727,-0.16414827
0.8312228,0.9666463,-0.13542354
0.9201678,0.95996714,-0.039799333
0.91650885,0.94636774,-0.029858887
0.9819993,0.9422243,0.039774954
0.93327236,0.96591544,-0.03264308
0.84255457,0.9524541,-0.10989952
0.88592166,0.9755559,-0.08963424
0.9675476,0.6690114,0.29853618
0.8658021,0.8903396,-0.024537504
0.6100999,0.87496805,-0.26486814
0.94375986,0.92741853,0.016341329
0.840953,0.83167136,0.009281635
0.8225451,0.7607323,0.061812818
0.6995533,0.87339926,-0.17384595
0.81617594,0.8191359,-0.0029599667
0.83909166,0.9423839,-0.10329223
0.91252756,0.98063177,-0.06810421
0.89569163,0.9737405,-0.078048885
0.916382,0.9809047,-0.06452268
0.9992099,0.9397881,0.059421778
0.99165547,0.93340737,0.058248103
0.9488771,0.9688536,-0.019976497
0.98929536,0.93520707,0.054088295
0.6072209,0.80778915,-0.20056826
0.6601633,0.8214558,-0.1612925
0.92986584,0.93939066,-0.009524822
0.96819717,0.7192536,0.24894357
0.9778528,0.9687229,0.009129941
0.95781946,0.9702691,-0.012449622
0.81595534,0.88578933,-0.069833994
0.8217763,0.896818,-0.07504171
0.624038,0.7566979,-0.13265991
0.65528333,0.7307005,-0.07541716
0.64316356,0.734144,-0.09098041
0.6471756,0.7991428,-0.15196717
0.6208447,0.82071686,-0.19987214
0.65549546,0.8713183,-0.21582282
0.9441954,0.9074232,0.03677219
0.9208518,0.953465,-0.03261316
0.9768244,0.905673,0.071151376
0.84530854,0.9150078,-0.06969929
0.7876315,0.81872785,-0.03109634
0.9566214,0.76760924,0.18901217
0.8803246,0.8506323,0.029692292
0.8983329,0.88186264,0.016470253
0.9550672,0.937868,0.017199218
0.95464945,0.96253395,-0.007884502
0.93421793,0.9712651,-0.037047148
0.9847883,0.9696455,0.015142798
0.98497367,0.9761358,0.008837879
0.93415886,0.84013927,0.09401959
0.9403823,0.8650757,0.075306594
0.76028013,0.875922,-0.11564189
0.63524985,0.9321296,-0.29687977
0.9672024,0.803265,0.16393745
0.9952018,0.9719555,0.023246348
0.93384683,0.964691,-0.030844152
0.65281296,0.794308,-0.14149505
0.37268078,0.72341233,-0.35073155
0.96691865,0.9766685,-0.00974983
0.94669557,0.92937726,0.017318308
0.7914876,0.83714354,-0.045655966
0.5424291,0.689412,-0.14698291
0.6480978,0.7583203,-0.11022246
0.6783476,0.7482745,-0.06992692
0.9304142,0.8285808,0.1018334
0.9308629,0.96973157,-0.038868666
0.4001495,0.71154094,-0.31139144
0.40692663,0.720278,-0.3133514
0.8078051,0.81940883,-0.011603713
0.9374378,0.95495665,-0.017518878
0.5259013,0.859711,-0.33380967
0.98174983,0.96789426,0.0138555765
0.6480978,0.7583203,-0.11022246
0.9569622,0.96437305,-0.0074108243
0.96518457,0.8813754,0.0838092
0.7992414,0.651147,0.14809442
0.6888031,0.75130343,-0.06250036
0.95641375,0.8750706,0.081343174
0.9273643,0.9638807,-0.036516428
0.69899714,0.751365,-0.052367866
0.9514872,0.81781507,0.13367212
0.86832833,0.919187,-0.050858676
0.9372181,0.8243969,0.11282122
0.99341536,0.9931108,0.00030457973
0.6439264,0.8286372,-0.1847108
0.98964494,0.96722597,0.022418976
0.9216881,0.94791234,-0.026224256
0.9307295,0.96206087,-0.03133136
0.97163993,0.89511716,0.07652277
0.97163993,0.89511716,0.07652277
0.6385409,0.88851535,-0.24997443
0.64428985,0.87209034,-0.22780049
0.84577453,0.8537475,-0.007972956
0.71627223,0.81551254,-0.0992403
0.68341863,0.893749,-0.21033037
0.6316252,0.7080549,-0.076429725
0.84580827,0.8066908,0.039117455
0.8522426,0.8681265,-0.015883923
0.96519244,0.8758544,0.089338064
0.86495566,0.79091907,0.0740366
0.929234,0.92864096,0.0005930662
0.9371904,0.881667,0.055523396
0.9499213,0.87302,0.07690132
0.95311487,0.88456964,0.06854522
0.8861665,0.8314987,0.05466783
0.944616,0.95069945,-0.006083429
0.9609022,0.9351147,0.025787532
0.9703181,0.9031733,0.06714475
0.9690031,0.81359607,0.15540701
0.98525196,0.902825,0.082426965
0.98569065,0.9599266,0.025764048
0.80762637,0.92001915,-0.11239278
0.8682338,0.9029392,-0.0347054
0.9737829,0.9637038,0.010079086
0.9586986,0.89864725,0.060051322
0.8616996,0.76559615,0.09610343
0.98072624,0.979605,0.001121223
0.9574331,0.97171205,-0.014278948
0.8435619,0.9070496,-0.06348771
0.9733579,0.7032636,0.27009434
0.9578411,0.96143925,-0.0035981536
0.9853072,0.96397614,0.021331072
0.953135,0.89826214,0.05487287
0.97789645,0.96719056,0.010705888
0.8339083,0.90429,-0.0703817
0.93006563,0.9477952,-0.01772958
0.71512014,0.6283357,0.08678442
0.927924,0.5697657,0.3581583
0.975984,0.9793826,-0.0033985972
0.9780196,0.98328036,-0.0052607656
0.979661,0.98493207,-0.005271077
0.98115015,0.98643017,-0.005280018
0.9916746,0.97404027,0.017634332
0.98471713,0.97839856,0.006318569
0.9181838,0.9780414,-0.059857607
0.9561068,0.95460665,0.0015001297
0.6879659,0.7486123,-0.060646355
0.88407254,0.9371592,-0.05308664
0.9409324,0.94528055,-0.004348159
0.96983886,0.950232,0.019606829
0.97879225,0.92109257,0.05769968
0.8802854,0.7155071,0.16477829
0.9392582,0.9266115,0.012646735
0.9023616,0.9639853,-0.061623752
0.9547927,0.6538672,0.3009255
0.9868057,0.96742487,0.019380808
0.92429954,0.91255665,0.01174289
0.9031669,0.89219576,0.010971129
0.90499544,0.9072056,-0.0022101402
0.8829509,0.7775716,0.10537928
0.9613992,0.7805709,0.18082827
0.98018324,0.97987914,0.0003041029
0.58356506,0.7394081,-0.15584302
0.667789,0.75925374,-0.09146476
0.968872,0.88335335,0.08551866
0.9741202,0.7120918,0.2620284
0.8462802,0.74298203,0.10329819
0.8298663,0.8761989,-0.046332598
0.95592105,0.93831956,0.01760149
0.85866374,0.8136261,0.045037627
0.9748151,0.6312352,0.3435799
0.54799926,0.691087,-0.14308774
0.19587052,0.90988815,-0.7140176
0.695699,0.7475229,-0.051823914
0.92864084,0.651333,0.27730787
0.942013,0.8054387,0.13657433
0.8649487,0.83065146,0.034297228
0.8041178,0.7529066,0.05121118
0.14127329,0.77918553,-0.6379123
0.13238212,0.83954173,-0.70715964
0.8394445,0.8911445,-0.051699996
0.90401626,0.9191731,-0.015156865
0.27909324,0.86900055,-0.5899073
0.93128896,0.87018543,0.061103523
0.9779798,0.9854938,-0.007514
0.9190917,0.9422939,-0.02320218
0.97340924,0.92528063,0.048128605
0.63170964,0.6483439,-0.016634285
0.9873674,0.9771043,0.010263085
0.97700024,0.98459595,-0.007595718
0.86920774,0.89647216,-0.027264416
0.79447126,0.96330726,-0.168836
0.92833817,0.85792875,0.07040942
0.7006331,0.7438674,-0.04323429
0.91073495,0.9488342,-0.03809923
0.815483,0.8075726,0.007910371
0.9880235,0.9762948,0.011728704
0.9861084,0.9030341,0.08307433
0.3673463,0.573073,-0.20572674
0.8726813,0.78894746,0.08373386
0.8223171,0.8219516,0.00036549568
0.75977963,0.6909903,0.0687893
0.6197296,0.9472669,-0.3275373
0.8840456,0.97403276,-0.08998716
0.6655034,0.75702137,-0.091517985
0.83232665,0.88449633,-0.05216968
0.8926093,0.86981905,0.022790253
0.7730343,0.7421918,0.030842483
0.9932705,0.9651373,0.028133214
0.88783395,0.8939419,-0.0061079264
0.9850266,0.9756275,0.009399116
0.8867358,0.90314,-0.016404212
0.9743049,0.9825271,-0.008222163
0.8353206,0.94101036,-0.105689764
0.28868046,0.84912556,-0.5604451
0.7853476,0.9890259,-0.20367831
0.919165,0.90510356,0.014061451
0.8783363,0.79570675,0.08262956
0.9675476,0.6690114,0.29853618
0.9790782,0.9441565,0.034921646
0.97625893,0.9856787,-0.009419739
0.77157784,0.95243424,-0.1808564
0.77806854,0.94850767,-0.17043912
0.9026048,0.9331906,-0.030585766
0.98529696,0.978205,0.0070919394
0.9756678,0.87819034,0.097477436
0.9523197,0.9715238,-0.01920414
0.96262056,0.89680105,0.0658195
0.95952255,0.592615,0.36690754
0.8710944,0.8710944,0.0
0.75641847,0.7139835,0.04243499
0.9637648,0.95266265,0.01110214
0.9610664,0.68489105,0.27617538
0.96249956,0.68509215,0.2774074
0.98724496,0.97694767,0.010297298
0.8848115,0.9718307,-0.087019205
0.9454788,0.91984403,0.025634766
0.9755851,0.9626589,0.012926221
0.18175685,0.9580072,-0.77625036
0.8267033,0.7246183,0.102084994
0.9517676,0.9770225,-0.025254905
0.81602544,0.94397575,-0.12795031
0.9255051,0.94630104,-0.020795941
0.28862944,0.8601036,-0.5714742
0.28568405,0.85726297,-0.5715789
0.58082664,0.58371127,-0.0028846264
0.8920785,0.850324,0.041754544
0.7046299,0.8994384,-0.19480848
0.43697667,0.8748021,-0.43782544
0.8345307,0.9477785,-0.11324781
0.7413361,0.90470386,-0.16336775
0.9801801,0.747769,0.23241109
0.97127765,0.7649121,0.20636553
0.93619967,0.9480716,-0.011871934
0.9886674,0.79825413,0.1904133
0.8904166,0.7985369,0.091879725
0.87197345,0.78948724,0.08248621
0.8356255,0.9457072,-0.11008167
0.8315107,0.8049009,0.026609838
0.98181427,0.7604383,0.22137594
0.96601325,0.7715006,0.19451267
0.98154795,0.77438337,0.20716459
0.7462353,0.91938,-0.1731447
0.73414487,0.8283066,-0.09416175
0.8749844,0.79604524,0.07893914
0.97159946,0.8992563,0.07234317
0.8113202,0.8613639,-0.050043702
0.977564,0.65226495,0.32529902
0.821686,0.9169321,-0.09524608
0.87700385,0.7963791,0.08062476
0.8770547,0.7484552,0.12859946
0.88914716,0.79673153,0.09241563
0.9980295,0.9961237,0.0019057989
0.8828723,0.8999007,-0.017028391
0.6623864,0.76402503,-0.101638615
0.8774915,0.81954247,0.057949007
0.9716214,0.9037769,0.06784451
0.89576614,0.8090575,0.086708665
0.6888696,0.9138914,-0.22502178
0.9577076,0.9694307,-0.011723101
0.9634996,0.9794484,-0.015948772
0.94557273,0.9569325,-0.011359751
0.6588743,0.80380833,-0.14493406
0.43695322,0.71576476,-0.27881154
0.8946167,0.8731334,0.021483302
0.9854158,0.9455096,0.039906204
0.98639977,0.9321362,0.05426359
0.98156863,0.92466056,0.05690807
0.979931,0.917663,0.06226802
0.974612,0.90776837,0.06684363
0.9910653,0.9562569,0.034808397
0.91927636,0.79826415,0.12101221
0.9553263,0.97185576,-0.01652944
0.9780128,0.9699757,0.00803709
0.75678825,0.9666658,-0.20987755
0.64200515,0.7310532,-0.08904803
0.6423614,0.7370497,-0.0946883
0.68062234,0.8108858,-0.13026345
0.66894823,0.79815453,-0.1292063
0.65790474,0.8186627,-0.16075796
0.81084776,0.642661,0.16818678
0.8432877,0.6840358,0.15925193
0.96481943,0.96326613,0.001553297
0.65779865,0.8017173,-0.14391863
0.9464452,0.9229039,0.023541331
0.93758804,0.90266407,0.03492397
0.9055232,0.890086,0.015437186
0.88407254,0.9371592,-0.05308664
0.94055307,0.9559961,-0.015443027
0.9357337,0.87148005,0.06425363
0.8290442,0.8733185,-0.04427427
0.99181795,0.966332,0.025485933
0.953135,0.89826214,0.05487287
0.86085397,0.7775368,0.08331716
0.540053,0.8801267,-0.3400737
0.64424914,0.7578269,-0.11357778
0.9882132,0.9674345,0.020778656
0.94375193,0.87550586,0.06824607
0.98041046,0.97957575,0.00083470345
0.9441453,0.958168,-0.014022708
0.57815695,0.80147874,-0.2233218
0.06143176,0.6563071,-0.59487534
0.829604,0.7474917,0.08211231
0.94203776,0.83960956,0.1024282
0.8187114,0.86969763,-0.05098623
0.83003545,0.87891686,-0.04888141
0.8223654,0.8716022,-0.049236774
0.8266687,0.8728645,-0.046195805
0.9857458,0.9282053,0.057540476
0.9805067,0.9179302,0.06257653
0.9844955,0.92459893,0.05989659
0.9702836,0.85693073,0.113352895
0.7611735,0.7830889,-0.021915436
0.9597205,0.99120253,-0.03148204
0.96789217,0.9624575,0.005434692
0.9518227,0.96348697,-0.011664271
0.9680397,0.9832624,-0.015222728
0.9656003,0.98132676,-0.015726447
0.9975029,0.97006476,0.027438164
0.6594275,0.74638623,-0.08695871
0.9021885,0.9736476,-0.071459115
0.92506397,0.9807353,-0.055671334
0.92726505,0.98135483,-0.054089785
0.9258393,0.9796354,-0.053796113
0.95607096,0.96967876,-0.0136078
0.9613975,0.96718895,-0.0057914257
0.8530455,0.9350234,-0.081977904
0.95784545,0.9028263,0.05501914
0.6364056,0.88991904,-0.25351346
0.97782767,0.91566217,0.0621655
0.98027706,0.92157215,0.058704913
0.9849359,0.9248708,0.06006509
0.9832274,0.92248124,0.060746133
0.9801729,0.9337828,0.046390057
0.98197335,0.92545885,0.0565145
0.9659594,0.8654693,0.10049015
0.6376612,0.7725474,-0.1348862
0.6496285,0.80901086,-0.15938234
0.89532197,0.99338305,-0.098061085
0.9761808,0.9697156,0.0064651966
0.9442483,0.910487,0.033761322
0.9803518,0.9804361,-8.428097e-05
0.9555285,0.9672916,-0.011763096
0.95821667,0.96990156,-0.011684895
0.853387,0.86860335,-0.015216351
0.9934131,0.97393733,0.019475758
0.2701823,0.84245837,-0.57227606
0.9714906,0.946558,0.024932623
0.9645475,0.9375334,0.027014136
0.9979024,0.96959174,0.028310657
0.9577666,0.9915946,-0.03382802
0.658663,0.7312119,-0.072548926
0.65128577,0.781678,-0.13039225
0.6548264,0.8083102,-0.15348381
0.57815695,0.80147874,-0.2233218
0.9826114,0.93071246,0.051898956
0.98845744,0.97592705,0.012530386
0.98230225,0.9622334,0.020068824
0.9241369,0.82317364,0.100963235
0.932453,0.81682944,0.115623534
0.9174212,0.80656034,0.110860884
0.96695465,0.98302823,-0.016073585
0.6544677,0.7963414,-0.14187372
0.925237,0.95625514,-0.031018138
0.97104067,0.7174773,0.25356334
0.9656408,0.94770163,0.01793915
0.9701871,0.6692108,0.30097634
